titulo,folio,precio,condicion,envio,opiniones,vendedor_url,tipo_vendedor,ventas_vendedor
Apple iPhone 12 Pro (256 GB) - Grafito,,4.499,Nuevo | +25 vendidos,a todo el país,4.1,,MercadoLíder Gold,+5mil
Apple iPhone 13 Pro Max (512 GB) - Grafito,,5.999,Nuevo | 4 vendidos,a todo el país,4.5,,MercadoLíder Gold,+5mil
Moto E22i 64 GB gris 2 GB RAM,,399,Nuevo | +50 vendidos,a todo el país,,,MercadoLíder Gold,+100
Samsung Galaxy S22+ (Snapdragon) 5G 128 GB phantom black 8 GB RAM,,2.899,Nuevo | 2 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Apple iPhone 11 (128 GB) - (PRODUCT)RED,,2.799,Nuevo | +100 vendidos,a todo el país,4.4,,MercadoLíder Gold,+5mil
Motorola Edge Edge 40 256 GB lunar blue 8 GB RAM,,1.649,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+1000
Moto G22 Dual SIM 128 GB iceberg blue 4 GB RAM,,739,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+5mil
Realme GT 2 Pro Dual SIM 256 GB paper white 12 GB RAM,,3.029,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+100
Samsung Galaxy A03 Dual SIM 128 GB negro 4 GB RAM,,599,Nuevo | +100 vendidos,a todo el país,4.3,,MercadoLíder Gold,+5mil
Doogee V20 Pro Dual SIM 256 GB black 12 GB RAM,,2.090,Nuevo | 1 vendido,a todo el país,,,MercadoLíder Gold,+50
Samsung Galaxy S20 FE 5G 5G Dual SIM 128 GB cloud lavender 8 GB RAM,,1.899,Nuevo | 1 vendido,a todo el país,4.5,,MercadoLíder Gold,+5mil
Xiaomi Mi 12 Dual SIM 256 GB blue 12 GB RAM,,2.079,Nuevo | 1 vendido,a todo el país,5.0,,MercadoLíder Gold,+100
Infinix Hot 11s NFC Dual SIM 128 GB green wave 6 GB RAM,,710,Nuevo | +5 vendidos,a todo el país,,,,+500
Honor X6 Dual SIM 64 GB titanium silver 4 GB RAM,,599,Nuevo | +25 vendidos,a todo el país,5.0,,MercadoLíder Gold,+500
Xiaomi Pocophone Poco M4 Pro Dual SIM 256 GB cool blue 8 GB RAM,,1.189,Nuevo | +500 vendidos,a todo el país,4.8,,,+500
Samsung Galaxy A14 (MediaTek) 5G Dual SIM 128 GB silver 6 GB RAM,,999,Nuevo | 4 vendidos,a todo el país,4.0,,MercadoLíder Gold,+5mil
Samsung Galaxy A03 Core 32 GB black 2 GB RAM,,489,Nuevo | +500 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Samsung Galaxy A14 4G (MediaTek) 128 GB green 4 GB RAM,,679,Nuevo | +5 vendidos,a todo el país,4.6,,MercadoLíder Gold,+5mil
Samsung Galaxy Z Flip3 5G 5G 128 GB phantom black 8 GB RAM,,2.999,Nuevo | +5 vendidos,a todo el país,,,MercadoLíder Gold,+1000
